USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
bikennepal        5141   9.4  2.7 508057216 445040   ??  Ss   11:02AM   3:40.89 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
_windowserver      645   1.2  0.8 436965104 135952   ??  Ss   10:05AM  10:07.39 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
root              1463   0.0  0.0 435305840   4864   ??  Ss   10:11AM   0:00.07 /usr/libexec/ASPCarryLog
bikennepal        1432   0.0  0.0 435338992   7584   ??  S    10:09AM   0:00.10 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
root              1431   0.0  0.0 435305120   3472   ??  Ss   10:09AM   0:00.05 /usr/libexec/betaenrollmentd
bikennepal        1430   0.0  0.0 435339344   5536   ??  S    10:09AM   0:00.06 /usr/libexec/betaenrollmentagent
bikennepal        1414   0.0  0.2 435396304  31824   ??  Ss   10:08AM   0:00.22 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
bikennepal        1413   0.0  0.0 435369840   7040   ??  Ss   10:08AM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1411   0.0  0.0 435300960   3232   ??  Ss   10:08AM   0:00.01 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/SpeechSynthesis.framework/Versions/A/XPCServices/SpeechSynthesisServerXPC.xpc/Contents/MacOS/SpeechSynthesisServerXPC
bikennepal        1410   0.0  1.2 508139520 193152   ??  Ss   10:08AM   0:15.80 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
bikennepal        1409   0.0  0.1 439699488  18144   ??  Ss   10:08AM   0:01.00 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
bikennepal        1408   0.0  0.2 440247392  30448   ??  Ss   10:08AM   0:06.59 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
_rmd              1393   0.0  0.0 435306032   3936   ??  Ss   10:07AM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedConfigurationFilesSubscriber.xpc/Contents/MacOS/ManagedConfigurationFilesSubscriber
_rmd              1392   0.0  0.0 435305712   3664   ??  Ss   10:07AM   0:00.05 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagementTestSubscriber.xpc/Contents/MacOS/ManagementTestSubscriber
_rmd              1391   0.0  0.0 435305120   4176   ??  Ss   10:07AM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ManagedAppsSubscriber.xpc/Contents/MacOS/ManagedAppsSubscriber
_rmd              1390   0.0  0.0 435305824   4960   ??  Ss   10:07AM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SoftwareUpdateSubscriber.xpc/Contents/MacOS/SoftwareUpdateSubscriber
_rmd              1389   0.0  0.0 435305120   3776   ??  Ss   10:07AM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/DiskManagementSubscriber.xpc/Contents/MacOS/DiskManagementSubscriber
_rmd              1388   0.0  0.0 435305888   4128   ??  Ss   10:07AM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/PasscodeSettingsSubscriber.xpc/Contents/MacOS/PasscodeSettingsSubscriber
_rmd              1387   0.0  0.0 435305040   4032   ??  Ss   10:07AM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/LegacyProfilesSubscriber.xpc/Contents/MacOS/LegacyProfilesSubscriber
_rmd              1384   0.0  0.0 435306192   6144   ??  Ss   10:07AM   0:00.08 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/ScreenSharingSubscriber.xpc/Contents/MacOS/ScreenSharingSubscriber
_rmd              1383   0.0  0.0 435305056   3696   ??  Ss   10:07AM   0:00.05 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/InteractiveLegacyProfilesSubscriber.xpc/Contents/MacOS/InteractiveLegacyProfilesSubscriber
_rmd              1382   0.0  0.0 435304768   2368   ??  S    10:07AM   0:00.23 /usr/sbin/distnoted agent
_rmd              1381   0.0  0.0 435305312   4032   ??  Ss   10:07AM   0:00.06 /System/Library/PrivateFrameworks/RemoteManagement.framework/XPCServices/SecuritySubscriber.xpc/Contents/MacOS/SecuritySubscriber
bikennepal        1380   0.0  0.0 435301216   2048   ??  S    10:07AM   0:00.02 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fudHelperAgent
_rmd              1378   0.0  0.0 435340448   8320   ??  Ss   10:07AM   0:00.17 /System/Library/PrivateFrameworks/RemoteManagement.framework/remotemanagementd
root              1367   0.0  0.0 435339488   5872   ??  Ss   10:06AM   0:00.07 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectUpdateService.xpc/Contents/MacOS/XProtectUpdateService
root              1366   0.0  0.0 435300320   3264   ??  Ss   10:06AM   0:00.03 /usr/libexec/tzd
bikennepal        1362   0.0  0.1 435359504  20112   ??  S    10:06AM   0:00.73 /usr/libexec/remindd
bikennepal        1356   0.0  0.1 435370880  21760   ??  Ss   10:06AM   0:01.22 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
bikennepal        1354   0.0  0.1 435348352  13664   ??  S    10:06AM   0:00.37 /System/Library/PrivateFrameworks/DataAccess.framework/Support/dataaccessd
bikennepal        1353   0.0  0.1 435343344  19552   ??  Ss   10:06AM   0:01.02 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
bikennepal        1352   0.0  0.0 435340368   7552   ??  S    10:06AM   0:00.16 /usr/libexec/diagnosticextensionsd
bikennepal        1341   0.0  0.0 435338464   4720   ??  S    10:06AM   0:00.08 /usr/libexec/MTLAssetUpgraderD
bikennepal        1343   0.0  0.1 435360016  16384   ??  S    10:06AM   0:00.21 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
bikennepal        1342   0.0  0.0 435305472   5456   ??  S    10:06AM   0:00.06 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
bikennepal        1340   0.0  0.1 435304688  11936   ??  S    10:06AM   0:00.07 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
bikennepal        1285   0.0  0.1 435340368  13904   ??  S    10:05AM   0:00.20 /System/Library/PrivateFrameworks/WeatherDaemon.framework/weatherd
bikennepal        1283   0.0  0.1 435342192  13328   ??  S    10:05AM   0:00.24 /usr/libexec/adprivacyd
bikennepal        1282   0.0  0.1 435339648   9392   ??  S    10:05AM   0:00.12 /System/Library/PrivateFrameworks/HomeKitEvents.framework/Support/homeeventsd
_assetcache       1272   0.0  0.1 435340464   9888   ??  Ss   10:05AM   0:00.10 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -d
bikennepal        1271   0.0  0.1 435338304   8672   ??  Ss   10:05AM   0:00.43 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
root              1270   0.0  0.1 435341312   9216   ??  Ss   10:05AM   0:00.34 /System/Library/CoreServices/SubmitDiagInfo server-init
root              1269   0.0  0.0 435305152   2448   ??  Ss   10:05AM   0:00.03 /System/Library/CoreServices/CrashReporterSupportHelper server-init
root              1268   0.0  0.0 435339328   4832   ??  Ss   10:05AM   0:00.18 /System/Library/PrivateFrameworks/Ecosystem.framework/Support/ecosystemd
bikennepal        1267   0.0  0.1 435351072   9904   ??  Ss   10:05AM   0:00.23 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
bikennepal        1266   0.0  0.0 435338928   7616   ??  S    10:05AM   0:00.19 /System/Library/PrivateFrameworks/DeviceCheckInternal.framework/devicecheckd
root              1265   0.0  0.0 435338656   4304   ??  S    10:05AM   0:00.09 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
root              1264   0.0  0.1 435342128  16928   ??  S    10:05AM   0:00.55 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
bikennepal        1261   0.0  0.0 435339584   8256   ??  S    10:05AM   0:01.29 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
bikennepal        1260   0.0  0.1 435360112  17920   ??  S    10:05AM   0:00.31 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
bikennepal        1258   0.0  0.1 435344816  10768   ??  Ss   10:05AM   0:00.31 /System/Library/PrivateFrameworks/StocksKit.framework/XPCServices/StocksKitService.xpc/Contents/MacOS/StocksKitService
bikennepal         937   0.0  0.1 435341040  10000   ??  S    10:05AM   0:00.28 /System/Library/CoreServices/diagnostics_agent
bikennepal        1148   0.0  0.0 435340928   8288   ??  S    10:05AM   0:00.24 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
bikennepal        1257   0.0  0.0 435339488   5696   ??  S    10:05AM   0:00.05 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
bikennepal        1256   0.0  0.1 435345984  15488   ??  S    10:05AM   0:00.27 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributionagent
bikennepal        1255   0.0  0.3 435415024  43280   ??  S    10:05AM   0:01.26 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
bikennepal        1253   0.0  0.1 435344272   8752   ??  S    10:05AM   0:00.44 /usr/libexec/filevaultd
bikennepal         995   0.0  0.0 435305408   4000   ??  S    10:05AM   0:00.04 /System/Library/Frameworks/FamilyControls.framework/Versions/A/FamilyControlsAgent
bikennepal        1252   0.0  0.1 435349568  17888   ??  Ss   10:05AM   0:00.07 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension -LaunchArguments eyJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuTW9iaWxlU01TLk1lc3NhZ2VzQWN0aW9uRXh0ZW5zaW9uIn0=
bikennepal        1251   0.0  0.1 435349472  11568   ??  Ss   10:05AM   0:00.06 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuY2FsZW5kYXIuQ2FsZW5kYXJJbnRlbnRzRXh0ZW5zaW9uIn0=
root              1241   0.0  0.0 435339696   8192   ??  Ss   10:05AM   0:01.48 /Library/Apple/System/Library/CoreServices/XProtect.app/Contents/XPCServices/XProtectPluginService.xpc/Contents/MacOS/XProtectPluginService
bikennepal        1239   0.0  0.0 435339008   6928   ??  Ss   10:05AM   0:00.05 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
bikennepal        1234   0.0  0.1 435343760   9840   ??  S    10:05AM   0:00.09 /usr/libexec/keyboardservicesd
bikennepal        1233   0.0  0.2 435471664  40160   ??  S    10:05AM   0:02.65 /usr/libexec/naturallanguaged
bikennepal        1232   0.0  1.4 436118960 227536   ??  S    10:05AM   0:12.53 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
bikennepal        1229   0.0  0.1 439664416   9936   ??  S    10:05AM   0:00.15 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/reversetemplated
root               964   0.0  0.0 435339360   4656   ??  Ss   10:05AM   0:00.12 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
root              1224   0.0  0.0 435305104   2192   ??  Ss   10:05AM   0:00.06 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
bikennepal        1222   0.0  0.0 435305680   4976   ??  Ss   10:05AM   0:00.03 /System/Library/Frameworks/Intents.framework/XPCServices/intents_helper.xpc/Contents/MacOS/intents_helper
bikennepal        1219   0.0  0.0 435339184   7584   ??  S    10:05AM   0:00.07 /System/Library/PrivateFrameworks/LockdownMode.framework/Versions/A/XPCServices/lockdownmoded
root              1214   0.0  0.1 435345040   9824   ??  Ss   10:05AM   0:00.31 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
root              1215   0.0  0.1 435344528  13360   ??  Ss   10:05AM   0:00.21 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
bikennepal        1217   0.0  0.0 435305888   3728   ??  S    10:05AM   0:00.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
root               659   0.0  0.0 435304704   5968   ??  Ss   10:05AM   0:00.16 /System/Library/CoreServices/TimeMachine/backupd-helper -launchd
root               785   0.0  0.0 435339024   5280   ??  Ss   10:05AM   0:00.05 /usr/libexec/mmaintenanced
bikennepal        1210   0.0  0.0 435338592   5792   ??  S    10:05AM   0:00.07 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsagent
bikennepal        1209   0.0  0.1 435340832  13760   ??  S    10:05AM   0:00.12 /System/Library/PrivateFrameworks/GeoAnalytics.framework/geoanalyticsd
bikennepal        1208   0.0  0.1 435344960  13184   ??  S    10:05AM   0:00.26 /System/Library/Frameworks/FinanceKit.framework/financed
bikennepal        1206   0.0  0.6 435533296  92816   ??  Ss   10:05AM   0:08.74 /Applications/WhatsApp.app/Contents/PlugIns/ServiceExtension.appex/Contents/MacOS/ServiceExtension -AppleLanguages ("en-IN")
root              1205   0.0  0.1 435346080  17376   ??  Ss   10:05AM   0:00.27 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
root              1202   0.0  0.0 435341184   5440   ??  S    10:05AM   0:00.05 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
bikennepal        1201   0.0  0.0 435305184   4560   ??  S    10:05AM   0:00.06 /System/Library/PrivateFrameworks/IMTransferServices.framework/IMTransferAgent.app/Contents/MacOS/IMTransferAgent
bikennepal        1196   0.0  0.0 435366816   2640   ??  Ss   10:05AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
bikennepal        1195   0.0  0.0 435369808   7248   ??  Ss   10:05AM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1194   0.0  0.1 435321904  24640   ??  Ss   10:05AM   0:00.28 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
bikennepal        1193   0.0  0.0 435305792   5152   ??  Ss   10:05AM   0:00.04 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
bikennepal        1190   0.0  0.7 440251536 115872   ??  Ss   10:05AM   0:07.87 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
root              1189   0.0  0.0 435302144   3200   ??  Ss   10:05AM   0:00.03 /usr/libexec/online-auth-agent
bikennepal        1188   0.0  0.2 435516544  25680   ??  S    10:05AM   0:00.26 /System/Library/PrivateFrameworks/WorkflowKit.framework/XPCServices/ShortcutsViewService.xpc/Contents/MacOS/ShortcutsViewService
bikennepal        1187   0.0  0.1 435361200  12704   ??  S    10:05AM   0:00.76 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
bikennepal        1186   0.0  0.1 435340448   9456   ??  S    10:05AM   0:00.23 /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd
root              1166   0.0  0.1 435339392  11168   ??  Ss   10:05AM   0:02.35 /usr/libexec/assetsubscriptiond
_fpsd             1160   0.0  0.1 435317104  13984   ??  Ss   10:05AM   0:00.11 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
bikennepal        1159   0.0  0.1 435349984  17840   ??  S    10:05AM   0:01.52 /usr/libexec/swcd
root              1158   0.0  0.1 435340624   8496   ??  Ss   10:05AM   0:00.12 /usr/libexec/ospredictiond
bikennepal        1156   0.0  0.0 435370496   6400   ??  Ss   10:05AM   0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1155   0.0  0.0 435567792   6672   ??  S    10:05AM   0:00.07 /System/Cryptexes/App/usr/libexec/webpushd --machServiceName com.apple.webkit.webpushd.service
bikennepal        1152   0.0  0.0 435339312   5312   ??  S    10:05AM   0:00.06 /System/Cryptexes/App/usr/libexec/SafariLaunchAgent
bikennepal        1154   0.0  0.1 435339728  10800   ??  S    10:05AM   0:00.10 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
bikennepal        1153   0.0  0.1 435316768  24832   ??  Ss   10:05AM   0:00.22 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
bikennepal        1150   0.0  0.1 435339536   9584   ??  S    10:05AM   0:00.32 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
bikennepal        1149   0.0  0.1 435570016  13520   ??  Ss   10:05AM   0:00.41 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper
bikennepal        1147   0.0  0.0 435372928   3616   ??  Ss   10:05AM   0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        1145   0.0  0.6 440121392 100416   ??  Ss   10:05AM   0:47.97 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
bikennepal        1144   0.0  0.0 435309952   2080   ??  Ss   10:05AM   0:00.09 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
bikennepal        1142   0.0  0.1 435341072  16800   ??  S    10:05AM   0:00.49 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
bikennepal        1141   0.0  0.1 435505312  12112   ??  S    10:05AM   0:00.20 /System/Cryptexes/App/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
bikennepal        1140   0.0  0.0 435370560   6400   ??  Ss   10:05AM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1139   0.0  0.0 435305648   3328   ??  S    10:05AM   0:00.04 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
root              1138   0.0  0.0 435313856   2272   ??  Ss   10:05AM   0:00.05 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
bikennepal        1137   0.0  0.0 435339296   6992   ??  S    10:05AM   0:00.07 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
bikennepal        1135   0.0  0.1 435350432  23568   ??  S    10:05AM   0:00.40 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
bikennepal        1134   0.0  0.1 435343248   8928   ??  S    10:05AM   0:00.16 /System/Library/PrivateFrameworks/WebPrivacy.framework/webprivacyd
bikennepal        1133   0.0  0.1 435350176  14928   ??  SN   10:05AM   0:02.12 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
root              1132   0.0  0.1 435350128  15696   ??  Ss   10:05AM   0:01.85 /usr/libexec/gamepolicyd
bikennepal        1131   0.0  0.0 435305552   5600   ??  Ss   10:05AM   0:00.13 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
bikennepal        1130   0.0  0.1 435471456  13968   ??  S    10:05AM   0:00.66 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
_netbios          1128   0.0  0.0 435339344   4640   ??  SNs  10:05AM   0:00.12 /usr/sbin/netbiosd
_securityagent    1127   0.0  0.0 435305328   2112   ??  S    10:05AM   0:00.25 /usr/sbin/distnoted agent
_captiveagent     1126   0.0  0.0 435339552   6256   ??  Ss   10:05AM   0:00.08 /usr/libexec/captiveagent
root              1125   0.0  0.0 435301360   3424   ??  Ss   10:05AM   0:01.05 /usr/libexec/sysmond
bikennepal        1106   0.0  0.0 435306736   2992   ??  Ss   10:05AM   0:00.07 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/AUCrashHandlerService.xpc/Contents/MacOS/AUCrashHandlerService
root               653   0.0  0.0 435305728   1952   ??  Ss   10:05AM   0:00.02 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
bikennepal        1124   0.0  0.0 435367200   2256   ??  Ss   10:05AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
_driverkit        1123   0.0  0.0 435239232   3184   ??  Ss   10:05AM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000ff1 com.apple.IOUserBluetoothSerialDriver
bikennepal        1122   0.0  0.2 435378848  27168   ??  S    10:05AM   0:00.34 /System/Library/PrivateFrameworks/IntelligenceFlowContextRuntime.framework/Versions/A/intelligencecontextd
_applepay         1120   0.0  0.0 435305536   2080   ??  S    10:05AM   0:00.25 /usr/sbin/distnoted agent
bikennepal        1121   0.0  0.0 435369760   6400   ??  Ss   10:05AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
_applepay         1119   0.0  0.0 435343408   3696   ??  Ss   10:05AM   0:00.03 /System/Library/PrivateFrameworks/NearFieldPrivateServices.framework/Versions/A/XPCServices/NFStorageServer.xpc/Contents/MacOS/NFStorageServer
bikennepal        1118   0.0  0.0 435370240   6400   ??  Ss   10:05AM   0:00.05 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1117   0.0  0.0 435306096   7632   ??  S    10:05AM   0:00.31 /usr/libexec/gamecontrolleragentd
_applepay         1116   0.0  0.1 435340576   8704   ??  Ss   10:05AM   0:00.42 /usr/libexec/nfcd
_gamecontrollerd  1115   0.0  0.0 435305008   2096   ??  S    10:05AM   0:00.25 /usr/sbin/distnoted agent
root              1114   0.0  0.0 435340912   4096   ??  Ss   10:05AM   0:00.14 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
bikennepal        1113   0.0  0.1 435348944  12944   ??  Ss   10:05AM   0:00.28 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
bikennepal        1109   0.0  0.1 435473872  17328   ??  S    10:05AM   0:03.34 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
_accessoryupdater  1105   0.0  0.0 435305648   2896   ??  Ss   10:05AM   0:00.09 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/ThunderboltAccessoryUpdaterService.xpc/Contents/MacOS/ThunderboltAccessoryUpdaterService
bikennepal        1053   0.0  0.1 435345584   8544   ??  Ss   10:05AM   0:00.19 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
bikennepal        1112   0.0  0.1 435346928  12096   ??  S    10:05AM   0:00.17 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
bikennepal        1111   0.0  0.1 435339360   9392   ??  S    10:05AM   0:03.22 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/ModelCatalogAgent
bikennepal        1107   0.0  0.1 435344256   9344   ??  S    10:05AM   0:00.15 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
bikennepal        1104   0.0  0.0 435374544   6400   ??  Ss   10:05AM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
bikennepal        1103   0.0  0.1 435914912  11808   ??  S    10:05AM   0:00.15 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
root              1102   0.0  0.0 435339824   7488   ??  Ss   10:05AM   0:00.18 /usr/libexec/countryd
bikennepal         928   0.0  0.1 435340576   9680   ??  S    10:05AM   0:00.25 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
bikennepal         884   0.0  0.1 435356592  23472   ??  S    10:05AM   0:01.28 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
bikennepal         931   0.0  0.0 435338032   4704   ??  S    10:05AM   0:00.06 /usr/libexec/mobilerepaird
bikennepal         833   0.0  0.0 435306208   5424   ??  S    10:05AM   0:00.04 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
_fpsd             1101   0.0  0.1 435374560  17792   ??  Ss   10:05AM   0:02.41 /usr/libexec/fairplaydeviceidentityd
bikennepal        1098   0.0  0.1 435347776  14144   ??  S    10:05AM   0:00.34 /usr/libexec/promotedcontentd
